threshold,accuracy,balanced_accuracy,f1,auc,tp,tn,fp,fn,model,threshold_strategy,holdout_gen
0.5,0.8987029030265596,0.8931890938066955,0.8723735408560311,0.9619745765911489,1121,1789,154,174,bn-GB+Platt,default,SVD
0.41221218993479586,0.900555898702903,0.9003988180519318,0.8785822021116139,0.9619745765911489,1165,1751,192,130,bn-GB+Platt,youden,SVD
0.5,0.8940704138357011,0.8922907099438238,0.8696313188901559,0.960961932449323,1144,1751,192,151,TwoStage(m=0.15),default,SVD
0.46448562188801523,0.8956145768993206,0.8951225764401266,0.8724528301886793,0.960961932449323,1156,1744,199,139,TwoStage(m=0.15),youden,SVD
0.5,0.8922174181593576,0.8895878085275923,0.8667430316914853,0.9606964511750923,1135,1754,189,160,TwoStage(m=0.2),default,SVD
0.4640592999779171,0.8931439159975293,0.8924200724509526,0.8693353474320241,0.9606964511750923,1151,1741,202,144,TwoStage(m=0.2),youden,SVD
0.5,0.8937615812229771,0.8910032449919223,0.8685015290519877,0.9605974918378417,1136,1758,185,159,TwoStage(m=0.25),default,SVD
0.46405929997791723,0.8934527486102533,0.8929349392035959,0.8698604300264051,0.9605974918378417,1153,1740,203,142,TwoStage(m=0.25),youden,SVD
0.5,0.900855242318657,0.9013664314511911,0.8791039011201236,0.964620172063566,1138,1706,192,121,Reject(m=0.05),coverage=0.97,SVD
0.5,0.9132702967068796,0.9137901338475579,0.8936,0.9681392916626714,1117,1684,164,102,Reject(m=0.1),coverage=0.95,SVD
0.5,0.9219905850706119,0.9230131511819057,0.9042113955408753,0.9713333522287096,1095,1647,147,85,Reject(m=0.15),coverage=0.92,SVD
0.5,0.9313588850174216,0.9327374241038664,0.9157038938810441,0.9745750805560331,1070,1603,128,69,Reject(m=0.2),coverage=0.89,SVD
0.5,0.8878766643307638,0.8876281944915685,0.877488514548239,0.9580847043322989,1146,1388,171,149,bn-GB,default,ZS
0.514637981506473,0.8892782060266293,0.8887803041747878,0.8786482334869432,0.9580847043322989,1144,1394,165,151,bn-GB,youden,ZS
0.5,0.8815697266993693,0.8850589799916291,0.876099706744868,0.955049890906209,1195,1321,238,100,bn-GB+SMOTE,default,ZS
0.5502932414138553,0.8857743517869656,0.8877307253189228,0.8783582089552239,0.955049890906209,1177,1351,208,118,bn-GB+SMOTE,youden,ZS
0.5,0.8759635599159075,0.8803197773050242,0.8715529753265603,0.9551385528293803,1201,1299,260,94,bn-GB-balanced,default,ZS
0.6064764567246481,0.8868255080588647,0.8881044427548597,0.8785257615644979,0.9551385528293803,1168,1363,196,127,bn-GB-balanced,youden,ZS
0.5,0.8461807988787666,0.8505741973990852,0.8412296564195298,0.9282244583078452,1163,1252,307,132,bn-LR-balanced,default,ZS
0.6368107752541571,0.8591450595655221,0.8568833105074285,0.8428459734167318,0.9282244583078452,1078,1374,185,217,bn-LR-balanced,youden,ZS
0.5,0.8682550805886475,0.8677718862452666,0.8559386973180076,0.9432875742048288,1117,1361,198,178,RF-balanced,default,ZS
0.45947445014543026,0.8731604765241766,0.8744849311879459,0.8641141141141141,0.9432875742048288,1151,1341,218,144,RF-balanced,youden,ZS
0.5,0.8864751226348984,0.8909220592350804,0.8824383164005806,0.9664550833248717,1216,1314,245,79,XGBoost,default,ZS
0.7906070947647095,0.9050455501051157,0.9034741604978938,0.8944292948967667,0.9664550833248717,1148,1435,124,147,XGBoost,youden,ZS
0.5,0.8910301331464611,0.8950913985551574,0.8866204885162231,0.967032624120501,1216,1327,232,79,XGBoost-tuned,default,ZS
0.7527557015419006,0.901541695865452,0.9007246502435726,0.8915476649942107,0.967032624120501,1155,1418,141,140,XGBoost-tuned,youden,ZS
0.5,0.8766643307638402,0.8735076687610364,0.8606492478226445,0.9520675811888127,1087,1415,144,208,Stacking(GB+LR+RF),default,ZS
0.35255766559104634,0.8840224246671339,0.8839041460593737,0.8735192969048529,0.9520675811888127,1143,1380,179,152,Stacking(GB+LR+RF),youden,ZS
0.5,0.8826208829712684,0.8798098474172881,0.8678500986193294,0.9520497497405771,1100,1419,140,195,Stacking(GB+LR+RF+SVM),default,ZS
0.33336701646526296,0.8847231955150666,0.8854609305539389,0.875520242149073,0.9520497497405771,1157,1368,191,138,Stacking(GB+LR+RF+SVM),youden,ZS
0.5,0.886124737210932,0.8841285251163378,0.8729972645564674,0.9589693422919849,1117,1412,147,178,bn-GB+Platt,default,ZS
0.4460564543673986,0.8875262789067975,0.8871113301517406,0.8768699654775605,0.9589693422919849,1143,1390,169,152,bn-GB+Platt,youden,ZS
0.5,0.8787666433076384,0.8780472582910043,0.8669230769230769,0.9568444280439149,1127,1381,178,168,TwoStage(m=0.15),default,ZS
0.3495739825806422,0.8805185704274702,0.8828545672035089,0.8733754177497215,0.9568444280439149,1176,1337,222,119,TwoStage(m=0.15),youden,ZS
0.5,0.8780658724597057,0.8775365854262582,0.866462010744436,0.9565779469563946,1129,1377,182,166,TwoStage(m=0.2),default,ZS
0.588788011589493,0.8843728100911002,0.8818057313246537,0.8701809598741149,0.9565779469563946,1106,1418,141,189,TwoStage(m=0.2),youden,ZS
0.5,0.8763139453398738,0.8756714654726201,0.8643872454859777,0.9559637526282811,1125,1376,183,170,TwoStage(m=0.25),default,ZS
0.44718875328974783,0.8784162578836721,0.8792303253496325,0.8689081979599547,0.9559637526282811,1150,1357,202,145,TwoStage(m=0.25),youden,ZS
0.5,0.8975188781014024,0.8971680206910218,0.888015717092338,0.9615729973823354,1130,1366,150,135,Reject(m=0.05),coverage=0.97,ZS
0.5,0.9070025935531678,0.9068687298804499,0.8977596741344196,0.9652870878922861,1102,1346,136,115,Reject(m=0.1),coverage=0.95,ZS
0.5,0.9167306216423637,0.9168708089864253,0.9086315789473685,0.9692308607282513,1079,1310,121,96,Reject(m=0.15),coverage=0.91,ZS
0.5,0.9271786709112615,0.9275541504945537,0.920744911216977,0.9727663320242333,1063,1267,105,78,Reject(m=0.2),coverage=0.88,ZS
