part,strategy,n_latent_feats,holdout_gen,auc,acc
feature_selection,soft(l=0.5),20,VCraft,0.9953786451100971,0.9690140845070423
feature_selection,soft(l=0.5),20,ZS,0.9863858223948263,0.9438742783835792
feature_selection,soft(l=0.7),20,DC,0.9978314991282731,0.9820031298904538
feature_selection,soft(l=0.7),20,Latte,0.9699997140324287,0.9077540106951871
feature_selection,soft(l=0.7),20,OSora,0.9755554946410461,0.9174520069808028
feature_selection,soft(l=0.7),20,Pika,0.940717485581715,0.8779697624190065
feature_selection,soft(l=0.7),20,SEINE,0.9700066747930917,0.9081669044222539
feature_selection,soft(l=0.7),20,SVD,0.9819712554059348,0.9351518270715389
feature_selection,soft(l=0.7),20,VCraft,0.995550362031343,0.9704225352112676
feature_selection,soft(l=0.7),20,ZS,0.9859834329089591,0.9448364336112893
feature_selection,soft(l=1.0),20,DC,0.9973544779175644,0.9767866458007303
feature_selection,soft(l=1.0),20,Latte,0.9605393348394292,0.8954545454545455
feature_selection,soft(l=1.0),20,OSora,0.9750131118481768,0.9207678883071553
feature_selection,soft(l=1.0),20,Pika,0.9463049435526798,0.8869690424766019
feature_selection,soft(l=1.0),20,SEINE,0.9642780285347405,0.8987161198288159
feature_selection,soft(l=1.0),20,SVD,0.9754069201793047,0.9227997941327843
feature_selection,soft(l=1.0),20,VCraft,0.9964239486213055,0.971830985915493
feature_selection,soft(l=1.0),20,ZS,0.988052159222804,0.9474021808851828
feature_selection,safe_max(g<=0.65),6,DC,0.9928509405318093,0.9606155451225874
feature_selection,safe_max(g<=0.65),6,Latte,0.931764276930996,0.8566844919786096
feature_selection,safe_max(g<=0.65),6,OSora,0.969280447356158,0.9092495636998255
feature_selection,safe_max(g<=0.65),6,Pika,0.9452232158360376,0.8718502519798416
feature_selection,safe_max(g<=0.65),6,SEINE,0.9319430566889364,0.8714336661911555
feature_selection,safe_max(g<=0.65),6,SVD,0.9554659838331193,0.8829130211013896
feature_selection,safe_max(g<=0.65),6,VCraft,0.9828843483435826,0.9330985915492958
feature_selection,safe_max(g<=0.65),6,ZS,0.9429322837742817,0.8665811417575369
feature_selection,safe_max(g<=0.70),12,DC,0.9925461694217158,0.9606155451225874
feature_selection,safe_max(g<=0.70),12,Latte,0.9254508278761188,0.8481283422459893
feature_selection,safe_max(g<=0.70),12,OSora,0.9755221134898225,0.9183246073298429
feature_selection,safe_max(g<=0.70),12,Pika,0.9522293076165138,0.8833693304535637
feature_selection,safe_max(g<=0.70),12,SEINE,0.9347116077297359,0.8755349500713266
feature_selection,safe_max(g<=0.70),12,SVD,0.965474595185642,0.8950077200205867
feature_selection,safe_max(g<=0.70),12,VCraft,0.9845284913707597,0.9364436619718309
feature_selection,safe_max(g<=0.70),12,ZS,0.9525929229646313,0.8822963438101347
feature_selection,safe_max(g<=0.75),20,DC,0.9940569633531788,0.9637454355764214
