n_estimators,max_depth,learning_rate,subsample,colsample_bytree,mean,min,acc,balacc,f1,stage
500,6,0.1,0.7,0.6,0.9816158728323747,0.9571756073768959,0.9246232617676151,0.9246232617676151,0.9275872669852715,2
500,6,0.1,1.0,1.0,0.9813243799190955,0.957142435084675,0.9256414732064933,0.9256414732064933,0.9285873938310237,2
500,6,0.1,1.0,0.7,0.9810976864566854,0.9570742763905021,0.9245941700122186,0.9245941700122184,0.9275653923541247,2
500,6,0.1,0.8,0.9,0.9815384824986182,0.9567609537241341,0.9259323907604585,0.9259323907604585,0.9288588353638091,2
500,6,0.1,0.9,0.8,0.9812799304607541,0.9566223039089918,0.9243614359690464,0.9243614359690464,0.9273783587509078,2
500,6,0.1,0.9,0.6,0.9811954884203935,0.9565899090923699,0.9252050968755454,0.9252050968755454,0.92813015402678,2
500,6,0.1,0.8,0.6,0.9811173521253063,0.9557383141530105,0.924506894746029,0.924506894746029,0.9274795293854624,2
500,6,0.1,0.6,0.7,0.9813958208568851,0.9555566440213942,0.9253505556525281,0.9253505556525281,0.9282598971147394,2
500,6,0.1,0.6,0.6,0.9809475835107799,0.9554301746573017,0.925961482515855,0.9259614825158551,0.9288291059593389,2
500,6,0.1,0.8,1.0,0.9812266159470182,0.955253687696345,0.9256123814510968,0.9256123814510968,0.9285654421008521,2
500,6,0.1,0.9,0.9,0.9809717115683149,0.955189157221634,0.9243323442136498,0.9243323442136498,0.9273686855993968,2
500,6,0.1,0.7,0.8,0.9812210825120533,0.9551375846735717,0.9250014545877698,0.9250014545877698,0.9280330523142203,2
500,6,0.1,1.0,0.8,0.9807752596431617,0.9547633597519541,0.9246232617676151,0.9246232617676151,0.9276277198960923,2
500,6,0.1,0.6,0.8,0.9811883537212962,0.9542178310400395,0.925845115494269,0.9258451154942688,0.9286653793412252,2
500,6,0.1,0.6,0.9,0.9813253174212373,0.9539988420796748,0.9261651248036307,0.9261651248036307,0.9289990488446259,2
500,6,0.1,0.7,0.7,0.9810432575725796,0.9537609345464027,0.9243323442136498,0.9243323442136498,0.9273483980894388,2
500,6,0.1,0.6,1.0,0.9810318496039547,0.9529119311923729,0.9259323907604585,0.9259323907604585,0.9287911842031661,2
