round,train_auc,test_auc,train_logloss,test_logloss
174,0.9999498270350136,0.9778607622515991,0.033882993752362554,0.21658531240379422
175,0.9999519519870579,0.9779285346242355,0.033597584692910624,0.2163874576351952
176,0.9999536681042235,0.9780099282449773,0.033345539395890716,0.21602975547057787
177,0.9999557118603992,0.9780481673337642,0.03305952708992531,0.2159434638653649
178,0.9999578351355755,0.9780999685509807,0.032747468493340225,0.21571095532892087
179,0.9999594110737609,0.9781452203013113,0.03248698949776866,0.21557715865848734
180,0.999960919480479,0.9781386264977319,0.03221048871208881,0.21576766449931475
181,0.9999623012566827,0.978195345459071,0.031930649539080425,0.2156935172668686
182,0.9999644202261259,0.9782202441179664,0.03166949815703772,0.2155826512516046
183,0.9999655659166794,0.978287580285367,0.03143268268274032,0.2153985441329685
184,0.9999667607142971,0.9782974625544755,0.03117061941153666,0.2154513975355139
185,0.9999683815616753,0.9782872193878753,0.030892984613572122,0.21555560511014382
186,0.9999700173311896,0.978289175696728,0.030642180489080205,0.21568561510111967
187,0.9999713234663433,0.9782564622690175,0.03036676433526559,0.21592566352977421
188,0.999972789765272,0.978281874668197,0.03011316005293289,0.21591438393708323
189,0.999974236645182,0.9783604187204107,0.029852131502625664,0.21551590853604805
190,0.9999754505136403,0.9783129753031975,0.029559335298858184,0.2158999295760619
191,0.999976095337826,0.9783084912982315,0.029341129225681398,0.21605045345410673
192,0.9999773552775603,0.9784102436022637,0.029052394365146162,0.21569016064080748
193,0.9999784041865581,0.9784682284201273,0.02877195728854206,0.21543733408611837
194,0.9999793398365052,0.978497560013222,0.02854904242914414,0.2153728202031461
195,0.9999800688281005,0.9785272738003028,0.02831234937082027,0.21536573768877124
196,0.9999810168381805,0.9785737218174817,0.028075323674437783,0.21527524281001628
197,0.9999820371243677,0.9785916125131424,0.02780048578619079,0.2154374022700194
198,0.9999829030609718,0.9785591603370521,0.027587372501753266,0.21580620017745317
199,0.9999835350852427,0.9785567952008466,0.027353651177155703,0.21595664403349857
200,0.9999842770185405,0.978591206499829,0.027128933225764356,0.21582016970912246
201,0.9999850718756957,0.97863611341941,0.026920277785242423,0.21568155304157513
202,0.9999858688938241,0.9786643954853096,0.026676882783702862,0.21565959556269454
203,0.999986510976969,0.9786834022765767,0.0264717262018606,0.215727169085781
204,0.999987261810307,0.9787238119482194,0.026258531121771823,0.21564044481732922
205,0.9999878586576892,0.9786819337756443,0.0260534697416326,0.21606046495867745
206,0.9999884286044578,0.97873040520214,0.025821642759218763,0.21609714777147915
207,0.999989052610437,0.978831043407881,0.025581641093349282,0.21566429988641936
208,0.9999896199294722,0.9788024177694997,0.025394224796965945,0.21584568711733607
209,0.9999901144405015,0.9788422496335285,0.025194185546835692,0.2158971507469355
210,0.9999906176030569,0.9788300670649572,0.02500323548318432,0.21608466826651337
211,0.9999913559915773,0.9788977879918027,0.024778634259100086,0.21580293020401742
212,0.9999917572094549,0.9789357629851502,0.024573730570651358,0.21568497304018655
213,0.999991975066723,0.9789203931485015,0.02440971353619368,0.2158702032680077
214,0.9999924455323299,0.978934194565243,0.024228288982758413,0.21589333687381043
215,0.9999929349644407,0.9789666633478412,0.02401469237593746,0.21579839648766408
216,0.9999932683853318,0.9789644713209744,0.023799967544267737,0.21597599556696556
217,0.9999935115979187,0.978989107892688,0.023623078069709806,0.21597996571068404
218,0.9999939398081718,0.9790292490284745,0.023419850822042898,0.21587928915750831
