threshold,accuracy,balanced_accuracy,f1,precision,recall,auc,tp,tn,fp,fn,fpr,fnr,config,feature_set,model,threshold_strategy,holdout_gen
0.5162195069247324,0.6844262295081968,0.6856456271143097,0.6877994839660893,0.657968970380818,0.7204633204633205,0.7482464260002056,933,904,485,362,0.349172066234701,0.2795366795366793,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,youden,Pika
0.2699999999999999,0.6151266766020864,0.6246223082076214,0.6919176856546376,0.5636540330417882,0.8957528957528957,0.7482464260002056,1160,491,898,135,0.6465082793376525,0.10424710424710418,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,max-f1,Pika
0.5199999999999998,0.684053651266766,0.6851811391768196,0.6866223207686623,0.6583982990786676,0.7173745173745174,0.7482464260002056,929,907,482,366,0.3470122390208781,0.2826254826254824,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,max-balacc,Pika
0.6699999999999997,0.6847988077496274,0.6805968572707233,0.6318537859007833,0.7238285144566301,0.5606177606177606,0.7482464260002056,726,1112,277,569,0.19942404607631375,0.4393822393822391,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,max-acc,Pika
0.5,0.71274217585693,0.7118014960347574,0.6970530451866405,0.7096,0.684942084942085,0.7712606775241765,887,1026,363,408,0.26133909287257,0.31505791505791486,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,default(0.5),Pika
0.43239707707688485,0.713859910581222,0.7147888400588185,0.7142857142857143,0.6891600861450108,0.7413127413127413,0.7712606775241765,960,956,433,335,0.3117350611951042,0.2586872586872585,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,youden,Pika
0.3699999999999999,0.7075260804769001,0.7102109514636512,0.7219270279844138,0.6668848167539267,0.7868725868725869,0.7712606775241765,1019,880,509,276,0.36645068394528413,0.21312741312741298,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-f1,Pika
0.4299999999999998,0.71274217585693,0.7137611848195002,0.7139146567717997,0.6871428571428572,0.7428571428571429,0.7712606775241765,962,951,438,333,0.31533477321814235,0.25714285714285695,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-balacc,Pika
0.4299999999999998,0.71274217585693,0.7137611848195002,0.7139146567717997,0.6871428571428572,0.7428571428571429,0.7712606775241765,962,951,438,333,0.31533477321814235,0.25714285714285695,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-acc,Pika
0.5,0.6780923994038748,0.6779583656473506,0.6689655172413793,0.6638783269961978,0.6741312741312742,0.7518945048102715,873,947,442,422,0.31821454283657286,0.3258687258687256,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,default(0.5),Pika
0.6123178863510911,0.6959761549925484,0.6912914766046515,0.6389380530973451,0.7481865284974093,0.5575289575289575,0.7518945048102715,722,1146,243,573,0.17494600431965432,0.4424710424710422,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,youden,Pika
0.3899999999999999,0.6616989567809239,0.6658561060288921,0.691156462585034,0.617629179331307,0.7845559845559845,0.7518945048102715,1016,760,629,279,0.45284377249819985,0.21544401544401529,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,max-f1,Pika
0.6099999999999998,0.6956035767511177,0.6909315054023477,0.6386554621848739,0.7474120082815735,0.5575289575289575,0.7518945048102715,722,1145,244,573,0.17566594672426195,0.4424710424710422,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,max-balacc,Pika
