config,feature_set,model,threshold_strategy,accuracy_DC,accuracy_Pika,accuracy_SVD,accuracy_ZS,accuracy_mean,accuracy_min,balanced_accuracy_DC,balanced_accuracy_Pika,balanced_accuracy_SVD,balanced_accuracy_ZS,balanced_accuracy_mean,balanced_accuracy_min,f1_DC,f1_Pika,f1_SVD,f1_ZS,f1_mean,f1_min,auc_DC,auc_Pika,auc_SVD,auc_ZS,auc_mean,auc_min,threshold_mean
D: z0+eps+physics+csv,safe_max(g<=0.65),GB+LR(0.7),max-acc,0.9445828144458281,0.874441132637854,0.890982087708462,0.855290819901892,0.8913242136735091,0.855290819901892,0.9434259208907096,0.8727061217341995,0.8866269769512178,0.8576706184788289,0.8901074095137389,0.8576706184788289,0.9316960859554874,0.8635074929121102,0.8638642499035866,0.8470936690114772,0.8765403744456652,0.8470936690114772,0.9840617277236996,0.9381160858482673,0.9562969336515398,0.9303894933144453,0.952216060134488,0.9303894933144453,0.46499999999999986
D: z0+eps+physics+csv,safe_max(g<=0.65),GB+LR(0.7),max-balacc,0.9436488169364882,0.874441132637854,0.8903644224830142,0.855290819901892,0.8909362979898121,0.855290819901892,0.9445225910014643,0.8727061217341995,0.8940958236377691,0.8576706184788289,0.8922487887130655,0.8576706184788289,0.9314134141720348,0.8635074929121102,0.8694372931224715,0.8470936690114772,0.8778629673045235,0.8470936690114772,0.9840617277236996,0.9381160858482673,0.9562969336515398,0.9303894933144453,0.952216060134488,0.9303894933144453,0.4299999999999998
D: z0+eps+physics+csv,safe_max(g<=0.65),GB+LR(0.7),max-f1,0.9445828144458281,0.8718330849478391,0.8903644224830142,0.855290819901892,0.8905177854446433,0.855290819901892,0.9434259208907096,0.8708918112805801,0.8940958236377691,0.8576706184788289,0.8915210435719719,0.8576706184788289,0.9316960859554874,0.8640316205533597,0.8694372931224715,0.8470936690114772,0.8780646671606989,0.8470936690114772,0.9840617277236996,0.9381160858482673,0.9562969336515398,0.9303894933144453,0.952216060134488,0.9303894933144453,0.4249999999999998
D: z0+eps+physics+csv,safe_max(g<=0.65),GB+LR(0.7),youden,0.9442714819427148,0.875558867362146,0.891290920321186,0.8556412053258584,0.8916906187379763,0.8556412053258584,0.9449189632288224,0.8738905520762972,0.8947390593298983,0.8580567188649293,0.8929013233749868,0.8580567188649293,0.932068311195446,0.8649959579628133,0.8703021370670597,0.847520355292376,0.8787216903794237,0.847520355292376,0.9840617277236996,0.9381160858482673,0.9562969336515398,0.9303894933144453,0.952216060134488,0.9303894933144453,0.4303024808178512
D: z0+eps+physics+csv,safe_max(g<=0.65),bn-GB,default(0.5),0.9296388542963886,0.8677347242921013,0.887893761581223,0.8528381219341276,0.8845263655259601,0.8528381219341276,0.9183787409139521,0.8675592284663559,0.8849550013214449,0.854771769845535,0.8814161851368221,0.854771769845535,0.9079054604726976,0.8628814213982232,0.8612915552158961,0.84375,0.8689571092717042,0.84375,0.9815602322644574,0.9391985011855422,0.9563644962512693,0.9345110344468908,0.9529085660370399,0.9345110344468908,0.5
D: z0+eps+physics+csv,safe_max(g<=0.65),bn-GB,max-acc,0.9392901618929016,0.8774217585692996,0.8903644224830142,0.8538892782060267,0.8902414052878106,0.8538892782060267,0.9382402523247593,0.8750110493091054,0.8849534116132161,0.8564531268187459,0.8886644600164566,0.8564531268187459,0.9253159708923784,0.8638808440215143,0.8622429181218471,0.8459549316586628,0.8743486661736006,0.8459549316586628,0.9815602322644574,0.9391985011855422,0.9563644962512693,0.9345110344468908,0.9529085660370399,0.9345110344468908,0.4899999999999998
D: z0+eps+physics+csv,safe_max(g<=0.65),bn-GB,max-balacc,0.9374221668742216,0.8774217585692996,0.8866584311303274,0.8538892782060267,0.8888479086949688,0.8538892782060267,0.9384291736404412,0.8750110493091054,0.8886900208053065,0.8564531268187459,0.8896458426433997,0.8564531268187459,0.924007561436673,0.8638808440215143,0.863821892393321,0.8459549316586628,0.8744163073775428,0.8459549316586628,0.9815602322644574,0.9391985011855422,0.9563644962512693,0.9345110344468908,0.9529085660370399,0.9345110344468908,0.4499999999999998
D: z0+eps+physics+csv,safe_max(g<=0.65),bn-GB,max-f1,0.9392901618929016,0.8774217585692996,0.887893761581223,0.8531885073580939,0.8894485473503796,0.8531885073580939,0.9382402523247593,0.8750110493091054,0.888302926851563,0.8562693638383183,0.8894558980809365,0.8562693638383183,0.9253159708923784,0.8638808440215143,0.8639940052454103,0.8461255967682703,0.8748291042318933,0.8461255967682703,0.9815602322644574,0.9391985011855422,0.9563644962512693,0.9345110344468908,0.9529085660370399,0.9345110344468908,0.4624999999999998
D: z0+eps+physics+csv,safe_max(g<=0.65),bn-GB,youden,0.9380448318804483,0.8785394932935916,0.8888202594193947,0.854239663629993,0.8899110620558569,0.854239663629993,0.9393266505942562,0.876090962916017,0.8890749289102351,0.8572315190660283,0.8904310153716343,0.8572315190660283,0.9248773121932805,0.8649544324772163,0.8649662415603901,0.8470588235294118,0.8754642024400747,0.8470588235294118,0.9815602322644574,0.9391985011855422,0.9563644962512693,0.9345110344468908,0.9529085660370399,0.9345110344468908,0.4534535357669355
D: z0+eps+physics+csv,safe_max(g<=0.65),bn-GB+Platt,default(0.5),0.9156288916562889,0.8804023845007451,0.8934527486102533,0.8570427470217239,0.8866316929472527,0.8570427470217239,0.8982481475439221,0.879589215874313,0.885080190844473,0.8571166052885104,0.8800085398878046,0.8571166052885104,0.8854122621564482,0.8735722725482473,0.863582443653618,0.8448669201520913,0.8668584746276011,0.8448669201520913,0.9817269986284072,0.9430333758627496,0.9590177192853467,0.9369861385255868,0.9551910580755225,0.9369861385255868,0.5
