auc,acc,bacc,f1,TP,TN,FP,FN,FPR,FNR,threshold,config,holdout_gen,method
0.882918366318413,0.8034729878721059,0.8071037934241613,0.8022191400832177,1446,1469,474,239,0.24395265054040144,0.14183976261127595,0.44000000000000006,safe,SVD,optimal-thresh
0.882918366318413,0.8106394707828004,0.8120607949712199,0.8032082497851618,1402,1539,404,283,0.20792588780236748,0.1679525222551929,0.5,safe,SVD,platt-0.5
0.882918366318413,0.8040242557883132,0.8076972652342502,0.8028832825062379,1448,1469,474,237,0.24395265054040144,0.1406528189910979,0.42000000000000004,safe,SVD,platt-optimal
0.8807094172033517,0.8040242557883132,0.8076972652342502,0.8028832825062379,1448,1469,474,237,0.24395265054040144,0.1406528189910979,0.5,safe,SVD,isotonic-0.5
0.882918366318413,0.7706725468577729,0.7797119997067766,0.7860082304526749,1528,1268,675,157,0.3474009264024704,0.09317507418397626,0.3,safe,SVD,thresh-0.3
0.882918366318413,0.7982359426681367,0.8030418866478006,0.8003273322422259,1467,1429,514,218,0.2645393721049923,0.12937685459940654,0.4,safe,SVD,thresh-0.4
0.882918366318413,0.8106394707828004,0.8115091685744,0.8016170950043315,1388,1553,390,297,0.2007205352547607,0.17626112759643917,0.5,safe,SVD,thresh-0.5
0.882918366318413,0.8103638368246968,0.8076662629755142,0.7903717245581963,1297,1643,300,388,0.15440041173443128,0.23026706231454006,0.6,safe,SVD,thresh-0.6
0.882918366318413,0.8042998897464168,0.7979859222255651,0.7709677419354839,1195,1723,220,490,0.11322696860524961,0.29080118694362017,0.7,safe,SVD,thresh-0.7
0.8624918277493221,0.7677998717126363,0.7677998717126363,0.7845238095238095,1318,1076,483,241,0.3098139833226427,0.15458627325208468,0.5,safe,ZeroScope,default-0.5
0.8624918277493221,0.768120590121873,0.7681205901218731,0.7835977252319665,1309,1086,473,250,0.3033996151379089,0.1603592046183451,0.51,safe,ZeroScope,optimal-thresh
0.8624918277493221,0.7633098139833226,0.7633098139833226,0.781785925487877,1322,1058,501,237,0.32135984605516354,0.15202052597819116,0.5,safe,ZeroScope,platt-0.5
0.8624918277493221,0.7684413085311097,0.7684413085311097,0.7843488649940262,1313,1083,476,246,0.30532392559332905,0.15779345734445158,0.54,safe,ZeroScope,platt-optimal
0.8614428584300803,0.7677998717126363,0.7677998717126363,0.7834928229665071,1310,1084,475,249,0.30468248877485565,0.1597177677998717,0.5,safe,ZeroScope,isotonic-0.5
0.8624918277493221,0.7078255291853752,0.7078255291853752,0.7564822240042769,1415,792,767,144,0.4919820397690827,0.09236690186016677,0.3,safe,ZeroScope,thresh-0.3
0.8624918277493221,0.7395766516998076,0.7395766516998076,0.7708803611738149,1366,940,619,193,0.3970493906350224,0.12379730596536241,0.4,safe,ZeroScope,thresh-0.4
0.8624918277493221,0.7677998717126363,0.7677998717126363,0.7845238095238095,1318,1076,483,241,0.3098139833226427,0.15458627325208468,0.5,safe,ZeroScope,thresh-0.5
0.8624918277493221,0.7864015394483643,0.7864015394483643,0.7897727272727273,1251,1201,358,308,0.22963438101347017,0.19756254008980115,0.6,safe,ZeroScope,thresh-0.6
0.8624918277493221,0.7889672867222579,0.7889672867222579,0.7755798090040927,1137,1323,236,422,0.15137908915971776,0.27068633739576653,0.7,safe,ZeroScope,thresh-0.7
